D_ ( 247,   1,  53424,   V,9.5,  0x0000,  A, 58, 56,247,247, 31, 20, 14, 53,     E,    0,    2,   O, 0.1, 0.0, 0.1,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M,  0,  0,   0,  0,   0,  0,   W,  2,  0,  0,  0 )
D_ ( 248,   1,  53434,   V,9.5,  0x0000,  A, 58, 56,247,247, 31, 20, 15, 53,     E,    0,    2,   O, 0.1, 0.0, 0.1,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M,  0,  0,   0,  0,   0,  0,   W,  2,  0,  0,  0 )
D_ ( 249,   2,  53444,   V,9.5,  0x0000,  A, 58, 56,245,247, 30, 20, 15, 53,     E,    0,    2,   O, 0.1, 0.0, 0.1,    S,   0,   0,   0,   0,  I,  98, 997, 186, 540,  M,  0,  0,   0,  0,   0,  0,   W,  2,  0,  0,  0 )
D_ ( 250,   2,  53444,   V,9.5,  0x0000,  A, 58, 56,245,247, 30, 20, 15, 53,     E,    0,    2,   O, 0.1, 0.0, 0.1,    S,   0,   0,   0,   0,  I,  98, 997, 186, 540,  M,  0,  0,   0,  0,   0,  0,   W,  2,  0,  0,  0 )
D_ ( 251,   2,  53464,   V,9.5,  0x0000,  A, 58, 56,247,247, 31, 20, 15, 53,     E,    0,    2,   O, 0.1, 0.0, 0.1,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M,  0,  0,   0,  0,   0,  0,   W,  2,  0,  1,  0 )
D_ ( 252,   2,  53464,   V,9.5,  0x0000,  A, 58, 56,247,247, 31, 20, 15, 53,     E,    0,    2,   O, 0.1, 0.0, 0.1,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M,  0,  0,   0,  0,   0,  0,   W,  2,  0,  1,  0 )
D_ ( 253,   2,  53484,   V,9.5,  0x0000,  A, 58, 56,246,247, 32, 20, 13, 53,     E,    0,    2,   O, 0.1, 0.0, 0.1,    S,   0,   0,   0,   0,  I,  98, 997, 175, 540,  M,  0,  0,   0,  0,   0,  0,   W,  2,  0,  2,  0 )
D_ ( 254,   2,  53494,   V,9.5,  0x0000,  A, 58, 56,247,247, 32, 20, 13, 53,     E,    0,    2,   O, 0.1, 0.0, 0.1,    S,   0,   0,   0,   0,  I,  98, 997, 175, 540,  M,  0,  0,   0,  0,   0,  0,   W,  2,  0,  2,  0 )
D_ ( 255,   2,  53504,   V,9.5,  0x0000,  A, 58, 56,247,247, 31, 20, 13, 53,     E,    0,    2,   O, 0.1, 0.0, 0.1,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M, 50,-50,   0,  0,  22,-22,   W,  2,  0,  2,  0 )
D_ (   0,   2,  53514,   V,9.5,  0x0000,  A, 58, 56,245,247, 32, 20, 13, 53,     E,    1,    2,   O, 0.2, 0.0, 0.0,    S,   0,   0,   0,   0,  I,  98, 997, 175, 540,  M, 50,-50,   1,  0,  24,-24,   W,  2,  0,  2,  0 )
D_ (   1,   2,  53524,   V,9.5,  0x0000,  A, 58, 56,247,247, 31, 20, 13, 53,     E,    1,    2,   O, 0.2, 0.0, 0.0,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M, 50,-50,   1,  0,  24,-24,   W,  2,  0,  2,  0 )
D_ (   2,   2,  53534,   V,9.5,  0x0000,  A, 58, 56,247,247, 31, 20, 13, 53,     E,    5,   -4,   O, 0.1, 0.0,-0.4,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M, 50,-50,   4, -6,  26,-26,   W,  2,  0,  2,  0 )
D_ (   3,   2,  53544,   V,9.5,  0x0000,  A, 59, 56,247,247, 32, 20, 13, 53,     E,    5,   -4,   O, 0.1, 0.0,-0.4,    S,   0,   0,   0,   0,  I,  98, 997, 175, 540,  M, 50,-50,   4, -6,  26,-26,   W,  2,  0,  2,  0 )
D_ (   4,   2,  53554,   V,9.5,  0x0000,  A, 59, 56,245,247, 31, 20, 14, 53,     E,   12,  -12,   O, 0.0, 0.0,-1.2,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M, 50,-50,   7, -8,  28,-28,   W,  2,  0,  2,  0 )
D_ (   5,   2,  53564,   V,9.5,  0x0000,  A, 59, 55,247,247, 31, 20, 14, 53,     E,   12,  -12,   O, 0.0, 0.0,-1.2,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M, 50,-50,   7, -8,  28,-28,   W,  2,  0,  2,  0 )
D_ (   6,   2,  53574,   V,9.5,  0x0000,  A, 60, 55,248,247, 31, 20, 14, 53,     E,   21,  -20,   O, 0.1,-0.0,-2.0,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M, 50,-50,   9, -8,  30,-30,   W,  2,  0,  2,  0 )
D_ (   7,   2,  53584,   V,9.5,  0x0000,  A, 60, 55,247,247, 31, 20, 14, 53,     E,   21,  -20,   O, 0.1,-0.0,-2.0,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M, 50,-50,   9, -8,  30,-30,   W,  2,  0,  2,  0 )
D_ (   8,   2,  53594,   V,9.5,  0x0000,  A, 60, 54,246,247, 31, 20, 14, 53,     E,   32,  -31,   O, 0.1,-0.0,-3.1,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M, 50,-50,  11,-11,  32,-32,   W,  2,  0,  2,  0 )
D_ (   9,   2,  53604,   V,9.5,  0x0000,  A, 61, 54,246,247, 31, 20, 14, 53,     E,   32,  -31,   O, 0.1,-0.0,-3.1,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M, 50,-50,  11,-11,  32,-32,   W,  2,  0,  2,  0 )
D_ (  10,   2,  53615,   V,9.5,  0x0000,  A, 62, 53,246,247, 31, 20, 14, 53,     E,   44,  -42,   O, 0.1,-0.0,-4.2,    S,   0,   0,   0,   0,  I,  98, 997, 180, 540,  M, 50,-50,  12,-11,  34,-34,   W,  2,  0,  2,  0 )
D_ (  11,   2,  53625,   V,9.5,  0x0000,  A, 63, 52,246,247, 32, 19, 14, 51,     E,   44,  -42,   O, 0.1,-0.0,-4.2,    S,   0,   0,   0,   0,  I, 102, 997, 175, 546,  M, 50,-50,  12,-11,  34,-34,   W,  2,  0,  2,  0 )
D_ (  12,   2,  53635,   V,9.5,  0x0000,  A, 63, 51,246,247, 32, 19, 14, 51,     E,   57,  -54,   O, 0.2,-0.0,-5.5,    S,   0,   0,   0,   0,  I, 102, 997, 175, 553,  M, 50,-50,  13,-12,  36,-36,   W,  2,  0,  2,  0 )
D_ (  13,   2,  53645,   V,9.5,  0x0000,  A, 63, 51,245,247, 32, 19, 15, 51,     E,   57,  -54,   O, 0.2,-0.0,-5.5,    S,   0,   0,   0,   0,  I, 102, 997, 175, 556,  M, 50,-50,  13,-12,  36,-36,   W,  2,  0,  2,  0 )
